epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,0.007533671,0.0086880755,6.231316,6.1280017
2,0.00937546,0.009921101,6.036956,5.9367304
3,0.010443752,0.010696377,5.896014,5.845197
4,0.011340705,0.011508233,5.8333488,5.804444
5,0.012139352,0.012107726,5.7997866,5.778757
6,0.01268931,0.012517718,5.775758,5.75778
7,0.013271148,0.013936687,5.7564816,5.7408595
8,0.014634233,0.014822718,5.7396135,5.727222
9,0.015330382,0.015792575,5.7263722,5.7142277
10,0.016184278,0.016795456,5.714917,5.70202
11,0.01726146,0.018276406,5.7042103,5.6913185
12,0.018490167,0.019709093,5.693914,5.680128
13,0.019744022,0.021029502,5.6842747,5.670542
14,0.02123018,0.022536363,5.6743255,5.6621027
15,0.02274809,0.024117399,5.6646404,5.6509356
16,0.023788948,0.024916045,5.6562667,5.643115
17,0.024589626,0.025503345,5.6487026,5.636983
18,0.025359696,0.026444752,5.641674,5.628731
19,0.026179045,0.02707422,5.6342263,5.6211133
20,0.027038023,0.028390564,5.6266675,5.6109543
21,0.02808053,0.029421387,5.618991,5.602281
22,0.028951827,0.030163642,5.6113734,5.5940423
23,0.029945437,0.031315885,5.6037416,5.584291
24,0.030853312,0.032122664,5.596132,5.576013
25,0.031909157,0.03356043,5.5880327,5.5654345
26,0.03316593,0.034817334,5.579762,5.554475
27,0.03427042,0.03622106,5.5712585,5.544046
28,0.03552758,0.037376355,5.562282,5.5328918
29,0.036919113,0.039190583,5.553129,5.521015
30,0.038245365,0.04091895,5.542937,5.5067472
31,0.0396891,0.042489827,5.532337,5.492722
32,0.041114803,0.044178568,5.5215983,5.480292
33,0.04256019,0.04588052,5.5109415,5.4641786
34,0.04390435,0.047632765,5.499807,5.450994
35,0.04527785,0.048864264,5.488582,5.4364085
36,0.04681443,0.051023457,5.4766665,5.4183927
37,0.048073113,0.05239264,5.4645243,5.4032984
38,0.04950491,0.054502547,5.4526463,5.3837724
39,0.05070974,0.055189423,5.4402285,5.3716617
40,0.051703222,0.056859877,5.4278955,5.352349
41,0.05292596,0.058142688,5.415811,5.337924
42,0.053851742,0.058822453,5.404302,5.323602
43,0.054814488,0.06036234,5.3928137,5.305695
44,0.055636376,0.061485626,5.3816667,5.292877
45,0.056364406,0.06268258,5.3703218,5.2790666
46,0.05715594,0.06271255,5.360098,5.2676744
47,0.057666652,0.062973686,5.3504353,5.2583275
48,0.058253698,0.06409799,5.340775,5.243376
49,0.058749802,0.06501654,5.331634,5.2319245
50,0.05931348,0.065187745,5.323116,5.219397
51,0.059790786,0.066027544,5.3144817,5.2105203
52,0.060172074,0.06623229,5.3066587,5.1994963
53,0.060530756,0.066900365,5.2991743,5.19124
54,0.060963735,0.06692374,5.2919865,5.186634
55,0.06129206,0.06708885,5.2853823,5.178729
56,0.06165671,0.06780265,5.279037,5.1679907
57,0.062023897,0.067569464,5.272637,5.1637654
58,0.062316786,0.06830917,5.2663803,5.155229
59,0.062548965,0.06852662,5.2608466,5.1470284
60,0.06259507,0.068725266,5.255492,5.142133
