epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,0.00793655,0.00910518,6.238943,6.156592
2,0.010702855,0.011462001,6.0596147,5.9618397
3,0.012571698,0.012923138,5.913859,5.85539
4,0.013681014,0.013375806,5.8415594,5.8112426
5,0.014610736,0.01446099,5.8038635,5.78244
6,0.015787875,0.015628984,5.7779675,5.7625546
7,0.017195415,0.016721282,5.7568507,5.7412534
8,0.018337246,0.017700285,5.739387,5.7251787
9,0.01942446,0.018963791,5.724549,5.7102904
10,0.021078655,0.02096803,5.710318,5.6960816
11,0.022806516,0.022557193,5.697657,5.682482
12,0.024447247,0.02419005,5.685757,5.671588
