df
"30×3 DataFrame
 Row │ epoch  train_loss  test_loss
     │ Int64  Float32     Float32
─────┼──────────────────────────────
   1 │     1    2.29923    1.81656
   2 │     2    1.8167     1.76524
   3 │     3    1.79431    1.74615
   4 │     4    1.67923    1.45886
   5 │     5    1.3432     1.19955
   6 │     6    1.0965     1.01356
   7 │     7    0.939775   0.893073
   8 │     8    0.853188   0.826505
   9 │     9    0.789437   0.768819
  10 │    10    0.740861   0.724809
  11 │    11    0.704133   0.701708
  12 │    12    0.67531    0.672787
  13 │    13    0.652113   0.653323
  14 │    14    0.63275    0.635207
  15 │    15    0.615672   0.620113
  16 │    16    0.601029   0.607201
  17 │    17    0.588214   0.597493
  18 │    18    0.576516   0.588546
  19 │    19    0.566544   0.58049
  20 │    20    0.55759    0.570358
  21 │    21    0.548902   0.561219
  22 │    22    0.541334   0.555101
  23 │    23    0.533807   0.547502
  24 │    24    0.527726   0.541002
  25 │    25    0.521354   0.535567
  26 │    26    0.515512   0.530175
  27 │    27    0.510227   0.529342
  28 │    28    0.505281   0.524021
  29 │    29    0.499756   0.521797
  30 │    30    0.495202   0.515308"
