epoch,train_loss,test_loss
1,6.246511,6.196387
2,6.1282263,6.0660515
3,6.0165358,5.980677
4,5.9438043,5.9229913
5,5.8957205,5.884007
6,5.862577,5.8574786
7,5.8393207,5.8398514
8,5.823342,5.8263826
9,5.8114667,5.8173566
10,5.8013625,5.808785
11,5.793193,5.8023105
12,5.7859044,5.795209
13,5.7793145,5.7893353
14,5.7732954,5.783482
15,5.7678227,5.7788596
16,5.762583,5.7735434
17,5.757455,5.7682505
18,5.7524257,5.7633924
19,5.7472296,5.75829
20,5.742106,5.754243
21,5.73677,5.748247
22,5.7313614,5.744136
23,5.7260427,5.738764
24,5.720645,5.7333827
25,5.7153177,5.7276907
26,5.7098317,5.722706
27,5.704513,5.7178884
28,5.6995034,5.7142854
29,5.6944823,5.707886
30,5.6893992,5.704479
31,5.684486,5.6975546
32,5.678969,5.6935964
33,5.6736593,5.688036
34,5.668235,5.682279
35,5.662911,5.677319
36,5.6577024,5.6725163
37,5.652412,5.6676927
38,5.6469502,5.662931
39,5.6412544,5.6565437
40,5.635643,5.650728
41,5.6297956,5.645772
42,5.6238236,5.6399493
43,5.617985,5.6347055
44,5.611919,5.629219
45,5.606151,5.623519
46,5.6002383,5.617108
47,5.5945525,5.6132064
48,5.5886965,5.6040597
49,5.582885,5.5998526
50,5.57709,5.5932007
51,5.571516,5.5878277
52,5.5658746,5.583137
53,5.560534,5.5758657
54,5.5548515,5.571753
55,5.5496635,5.566266
56,5.5442257,5.558827
57,5.5389338,5.5537667
58,5.533299,5.549172
59,5.5279512,5.5438724
60,5.5227284,5.5372143
61,5.5173206,5.535364
62,5.5123267,5.529232
63,5.5071383,5.5236955
64,5.502177,5.5198865
65,5.4971395,5.514197
66,5.492235,5.5104723
67,5.487583,5.505834
68,5.4828987,5.5014157
69,5.478526,5.4955916
70,5.473779,5.4925427
71,5.469604,5.484931
72,5.4653516,5.484033
73,5.461206,5.478756
74,5.4570036,5.474339
75,5.4527984,5.4703946
76,5.4488916,5.4685802
77,5.4454517,5.4643216
78,5.4415226,5.4614143
79,5.4384146,5.458308
80,5.4344974,5.453742
81,5.4313684,5.4505396
82,5.4282823,5.4467926
83,5.4251575,5.44665
84,5.42226,5.440115
85,5.419363,5.43946
86,5.416759,5.433951
87,5.4138045,5.4317384
88,5.411117,5.42988
89,5.4088645,5.4270334
90,5.4062757,5.4253726
91,5.4037724,5.4225097
92,5.401227,5.4203944
93,5.3988323,5.419856
94,5.3969693,5.419148
95,5.394536,5.4147916
96,5.392347,5.4131413
97,5.390214,5.409568
98,5.388088,5.4057736
99,5.386137,5.407686
100,5.384074,5.4058633
